hora,data,umidade_solo,umidade,temperatura
17:49:20,08/03/2022,590.00,66.00,26.00
17:49:22,08/03/2022,590.00,66.00,26.00
17:49:25,08/03/2022,590.00,66.00,26.00
17:49:27,08/03/2022,590.00,66.00,26.00
17:49:29,08/03/2022,590.00,66.00,26.00
17:49:32,08/03/2022,590.00,67.00,26.00
17:49:34,08/03/2022,590.00,67.00,26.00
17:49:36,08/03/2022,590.00,67.00,26.00
17:49:39,08/03/2022,590.00,67.00,26.00
17:49:41,08/03/2022,590.00,67.00,26.00
17:49:43,08/03/2022,590.00,66.00,26.00
17:49:45,08/03/2022,590.00,66.00,26.00
17:49:48,08/03/2022,590.00,66.00,26.00
17:49:50,08/03/2022,590.00,66.00,26.00
17:49:52,08/03/2022,590.00,67.00,26.00
17:49:55,08/03/2022,591.00,67.00,26.00
17:49:57,08/03/2022,590.00,67.00,26.00
17:49:59,08/03/2022,590.00,66.00,26.00
17:50:02,08/03/2022,590.00,66.00,26.00
17:50:04,08/03/2022,589.00,66.00,26.00
17:50:06,08/03/2022,590.00,65.00,26.00
17:50:09,08/03/2022,590.00,65.00,26.00
17:50:11,08/03/2022,590.00,65.00,26.00
17:50:13,08/03/2022,590.00,66.00,26.00
17:50:15,08/03/2022,590.00,66.00,26.00
17:50:18,08/03/2022,590.00,65.00,26.00
17:50:20,08/03/2022,590.00,66.00,26.00
17:50:22,08/03/2022,590.00,65.00,26.00
17:50:25,08/03/2022,590.00,65.00,26.00
17:50:27,08/03/2022,590.00,65.00,26.00
17:50:29,08/03/2022,591.00,65.00,26.00
17:50:32,08/03/2022,590.00,65.00,26.00
17:50:34,08/03/2022,590.00,66.00,26.00
17:50:36,08/03/2022,590.00,66.00,26.00
17:50:39,08/03/2022,590.00,66.00,26.00
17:50:41,08/03/2022,591.00,66.00,26.00
17:50:43,08/03/2022,591.00,67.00,26.00
17:50:46,08/03/2022,591.00,67.00,26.00
17:50:48,08/03/2022,590.00,67.00,26.00
17:50:50,08/03/2022,591.00,67.00,26.00
17:50:52,08/03/2022,591.00,68.00,26.00
17:50:55,08/03/2022,590.00,68.00,26.00
17:50:57,08/03/2022,590.00,67.00,26.00
17:50:59,08/03/2022,590.00,67.00,26.00
17:51:02,08/03/2022,591.00,67.00,26.00
17:51:04,08/03/2022,591.00,68.00,26.00
17:51:06,08/03/2022,591.00,68.00,26.00
17:51:09,08/03/2022,591.00,68.00,26.00
17:51:11,08/03/2022,591.00,67.00,26.00
17:51:13,08/03/2022,591.00,67.00,26.00
17:51:16,08/03/2022,591.00,68.00,26.00
17:51:18,08/03/2022,591.00,67.00,26.00
17:51:20,08/03/2022,591.00,67.00,26.00
17:51:22,08/03/2022,590.00,67.00,26.00
17:51:25,08/03/2022,591.00,67.00,26.00
17:51:27,08/03/2022,591.00,67.00,26.00
17:51:29,08/03/2022,591.00,67.00,26.00
17:51:32,08/03/2022,590.00,67.00,26.00
17:51:34,08/03/2022,590.00,68.00,26.00
17:51:36,08/03/2022,590.00,68.00,26.00
17:51:39,08/03/2022,591.00,68.00,26.00
17:51:41,08/03/2022,591.00,67.00,26.00
17:51:43,08/03/2022,591.00,67.00,26.00
17:51:46,08/03/2022,590.00,67.00,26.00
17:51:48,08/03/2022,591.00,66.00,26.00
17:51:50,08/03/2022,591.00,66.00,26.00
17:51:52,08/03/2022,591.00,67.00,26.00
17:51:55,08/03/2022,591.00,67.00,26.00
17:51:57,08/03/2022,591.00,67.00,26.00
17:51:59,08/03/2022,591.00,67.00,26.00
17:52:02,08/03/2022,591.00,66.00,26.00
